ano,PIB,Impostos,vab_bruto,vab_agropecuaria,vab_industria,vab_servicos,vab_governo
2010,2227149.609,540699.053,1686450.556,52462.0,842954.0,565801.667,225232.853
2011,2460397.52,567546.817,1892850.703,56937.0,997205.0,567624.066,271084.561
2012,2006449.481,593976.556,1412472.925,64451.0,364438.0,677425.521,306159.104
2013,2658971.938,590890.879,2068081.059,83328.0,997191.0,654005.308,333555.95
2014,3902984.552,797264.308,3105720.244,78492.0,1634683.0,1021477.477,371067.151
2015,5513143.805,956512.03,4556631.776,93987.0,2897486.0,1163692.571,401466.206
2016,5014168.695,1058713.516,3955455.18,80465.0,2292035.0,1123461.437,459494.145
2017,4818669.203,1092526.796,3726142.407,94650.0,2003925.0,1123176.77,504390.371
2018,4737435.563,1104325.362,3633110.201,86391.0,1892147.0,1122652.448,531919.773
2019,5364844.356,1399694.124,3965150.232,79134.0,2124330.0,1195963.43,565722.806
2020,7433645.296,1674585.163,5759060.133,167676.0,3665438.0,1274475.444,651470.235
2021,9242378.136,2276306.299,6966071.837,181646.0,4694445.0,1468235.1,621746.319
